"Date(UTC)","UnixTimeStamp","Supply","MarketCap","Price"
"4/11/2016","1460332800","78985756.75000","687.9659412925","8.71"
"4/12/2016","1460419200","79017139.56250","591.0482039275","7.48"
"4/13/2016","1460505600","79048625.65625","637.9224090459375","8.07"
"4/14/2016","1460592000","79080026.75000","670.59862684","8.48"
"4/15/2016","1460678400","79111760.18750","653.46313914875","8.26"
"4/16/2016","1460764800","79143291.43750","676.675141790625","8.55"
"4/17/2016","1460851200","79174794.56250","748.201808615625","9.45"
"4/18/2016","1460937600","79206654.09375","702.5630218115625","8.87"
"4/19/2016","1461024000","79237980.65625","702.8408884209375","8.87"
"4/20/2016","1461110400","79269812.06250","680.13498749625","8.58"
"4/21/2016","1461196800","79301185.96875","644.7186419259375","8.13"
"4/22/2016","1461283200","79332762.68750","625.1421699775","7.88"
"4/23/2016","1461369600","79364456.28125","661.899565385625","8.34"
"4/24/2016","1461456000","79395951.28125","637.5494887884375","8.03"
"4/25/2016","1461542400","79428088.31250","597.29922411","7.52"
"4/26/2016","1461628800","79459376.12500","595.15072717625","7.49"
"4/27/2016","1461715200","79491251.12500","618.4419337525","7.78"
"4/28/2016","1461801600","79522933.62500","582.107874135","7.32"
"4/29/2016","1461888000","79554617.21875","597.4551753128125","7.51"
"4/30/2016","1461974400","79586508.93750","705.932334275625","8.87"
"5/1/2016","1462060800","79617521.75000","697.44949053","8.76"
"5/2/2016","1462147200","79649433.31250","798.08732179125","10.02"
"5/3/2016","1462233600","79681224.56250","748.206698641875","9.39"
"5/4/2016","1462320000","79712683.31250","749.2992231375","9.40"
"5/5/2016","1462406400","79744463.31250","779.90085119625","9.78"
"5/6/2016","1462492800","79776200.96875","741.1209069996875","9.29"
"5/7/2016","1462579200","79807774.09375","743.80845455375","9.32"
"5/8/2016","1462665600","79839623.31250","756.081232769375","9.47"
"5/9/2016","1462752000","79871424.71875","742.0055356371875","9.29"
"5/10/2016","1462838400","79903125.65625","747.8932561425","9.36"
"5/11/2016","1462924800","79934378.78125","792.1496937221875","9.91"
"5/12/2016","1463011200","79966635.81250","802.8650235575","10.04"
"5/13/2016","1463097600","79998832.53125","841.58771822875","10.52"
"5/14/2016","1463184000","80030500.34375","813.1098834925","10.16"
"5/15/2016","1463270400","80062308.93750","796.619973928125","9.95"
"5/16/2016","1463356800","80093820.50000","890.64328396","11.12"
"5/17/2016","1463443200","80126012.68750","975.93483453375","12.18"
"5/18/2016","1463529600","80158417.06250","1058.892689395625","13.21"
"5/19/2016","1463616000","80190320.65625","1167.571068755","14.56"
"5/20/2016","1463702400","80222410.34375","1102.255918123125","13.74"
"5/21/2016","1463788800","80254249.87500","1121.15187075375","13.97"
"5/22/2016","1463875200","80286506.12500","1144.08271228125","14.25"
"5/23/2016","1463961600","80318586.75000","1078.6786200525","13.43"
"5/24/2016","1464048000","80350590.03125","1018.0419756959375","12.67"
"5/25/2016","1464134400","80382947.06250","1008.00215616375","12.54"
"5/26/2016","1464220800","80414991.43750","998.75419365375","12.42"
"5/27/2016","1464307200","80447313.15625","892.1607029028125","11.09"
"5/28/2016","1464393600","80479631.75000","942.4164877925","11.71"
"5/29/2016","1464480000","80511604.09375","995.12342659875","12.36"
"5/30/2016","1464566400","80543608.15625","1015.6548988503125","12.61"
"5/31/2016","1464652800","80575141.12500","1122.41171587125","13.93"
"6/1/2016","1464739200","80607285.34375","1114.7987563040625","13.83"
"6/2/2016","1464825600","80639467.53125","1112.0182572559375","13.79"
"6/3/2016","1464912000","80671739.71875","1114.883442913125","13.82"
"6/4/2016","1464998400","80703881.28125","1108.871328804375","13.74"
"6/5/2016","1465084800","80735464.40625","1122.222955246875","13.90"
"6/6/2016","1465171200","80767836.28125","1129.9420295746875","13.99"
"6/7/2016","1465257600","80799782.21875","1168.364850883125","14.46"
"6/8/2016","1465344000","80832085.18750","1168.83195181125","14.46"
"6/9/2016","1465430400","80864311.12500","1169.2979388675","14.46"
"6/10/2016","1465516800","80895475.34375","1130.1097905521875","13.97"
"6/11/2016","1465603200","80927850.81250","1140.273417948125","14.09"
"6/12/2016","1465689600","80960067.68750","1267.025059309375","15.65"
"6/13/2016","1465776000","80992291.90625","1425.46433755","17.60"
"6/14/2016","1465862400","81024437.37500","1513.536490165","18.68"
